dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 probability information.content entropy 
8 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 500000 NA NA 12 0 0 0 0.5 0.5 1.0 1.0 0.038461525 4.7004404 4.700439 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 4.7004404 4.700439 
8 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 12 0 0 0.98918456 0.010815395 1.0 1.0 0.10032063 3.3173096 2.4876194 0.42788285 0.16001259 0.0049370923 0.19445191 0.0049370923 0.10032063 0.0016653677 0.0016653677 0.03383991 0.0016653677 0.027456895 0.0016653677 0.0016653677 0.01785007 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.0016653677 0.10032063 3.3173096 2.4876194 
8 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 24 1 0 0.9734807 0.026519312 1.0 1.0 0.014495975 6.108204 2.8534002 0.0031280161 0.03214418 0.010156895 0.31281123 0.014495975 0.16191606 0.03951934 0.14055014 0.20177773 0.0016841756 0.039328285 9.5035206e-4 0.0052609826 0.019091764 9.5035206e-4 0.0031280161 9.5035206e-4 0.0045532165 9.5035206e-4 9.5035206e-4 9.5035206e-4 9.5035206e-4 9.5035206e-4 9.5035206e-4 9.5035206e-4 9.5035206e-4 0.014495975 6.108204 2.8534002 
8 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 36 1 0 0.97527826 0.02472175 1.0 1.0 0.07565796 3.7243645 2.8632357 0.008168331 0.008168331 0.008168331 0.10862633 0.10862633 0.07565796 0.008168331 0.4932469 0.008168331 0.008168331 0.008168331 0.008168331 0.042307857 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.008168331 0.07565796 3.7243645 2.8632357 
8 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 48 1 0 0.99632007 0.0036798462 1.0 0.99999994 0.05011544 4.318601 1.7712448 0.0017356351 0.011456732 0.0057936315 0.12752013 0.0013415263 0.05453519 0.015898507 0.6835923 0.05011544 9.2101854e-4 0.023157356 5.12785e-4 0.0029549762 0.011052651 5.12785e-4 0.0017356351 5.12785e-4 0.0025487847 5.12785e-4 5.12785e-4 5.12785e-4 5.12785e-4 5.12785e-4 5.12785e-4 5.12785e-4 5.12785e-4 0.05011544 4.318601 1.7712448 
8 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 60 1 0 0.9482032 0.051796842 1.0 1.0 0.07553392 3.7267315 3.1763785 0.0051739053 0.010695103 7.9364097e-4 0.045989074 7.9364097e-4 0.10049361 0.057332154 0.07553392 0.26801732 0.0016118571 0.13776575 0.0025640244 0.045077592 0.18471044 6.2536425e-4 0.01876959 7.9364097e-4 0.023133261 0.006672513 6.2536425e-4 0.009033764 6.2536425e-4 0.0011247421 6.2536425e-4 7.9364097e-4 6.2536425e-4 0.07553392 3.7267315 3.1763785 
8 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 72 2 0 0.989162 0.010838015 1.0 1.0 0.2630703 1.9264798 2.480084 0.0041492404 0.0041492404 3.5990367e-4 0.1251565 2.277451e-4 0.27936038 0.005675226 0.062027007 0.2630703 0.002827957 0.22670737 0.004627411 0.009547577 0.0028513942 0.0029568337 0.0031090633 2.277451e-4 2.277451e-4 3.5990367e-4 0.0010148003 2.277451e-4 2.277451e-4 2.277451e-4 2.277451e-4 2.277451e-4 2.277451e-4 0.2630703 1.9264798 2.480084 
8 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 84 2 0 0.8731263 0.12687361 1.0 1.0 0.27025452 1.8876094 3.1659722 0.026519762 0.0015973294 7.0405786e-4 0.09424477 7.0405786e-4 0.1003388 0.009582072 0.108989954 0.17395575 0.006039335 0.27025452 0.0020729138 0.08490224 0.06489763 5.6534226e-4 0.022559276 7.0405786e-4 0.014418862 0.005001043 5.6534226e-4 0.008012249 5.6534226e-4 9.706157e-4 5.6534226e-4 7.0405786e-4 5.6534226e-4 0.27025452 1.8876094 3.1659722 
8 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 96 3 0 0.97729903 0.022700988 1.0 1.0 0.22782217 2.1340199 2.785203 4.7757282e-4 0.0029638992 9.6319965e-4 0.054936633 6.4034597e-4 0.0050302274 0.007634888 0.06431011 0.22782217 0.0034885188 0.17227456 0.01099767 0.33041304 0.057249006 6.4034597e-4 0.03296975 4.7757282e-4 0.012711469 0.0057581775 0.002020537 0.0017606034 4.7757282e-4 0.0025493905 4.7757282e-4 4.7757282e-4 4.7757282e-4 0.22782217 2.1340199 2.785203 
8 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 76 96 4 500000 NA NA 12 108 4 0 0.83557975 0.16442026 1.0 1.0 0.028213663 5.147462 3.2677073 0.008002961 0.0043176804 0.0011945472 0.043069035 0.0011945472 0.055651937 0.032940984 0.22495058 0.16720755 0.0022302738 0.19705357 0.0053108465 0.070282616 0.096811794 9.6828764e-4 0.027840126 0.0011945472 0.028213663 0.0105497865 9.6828764e-4 0.014322703 9.6828764e-4 0.0016242247 9.6828764e-4 0.0011945472 9.6828764e-4 0.028213663 5.147462 3.2677073 
