dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.stm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.59 cpitch.60 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.79 cpitch.84 probability information.content entropy 
8 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 500000 NA NA 12 0 0 1.0 0.05263158 4.2479277 4.2479277 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 4.2479277 4.2479277 
8 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 12 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 24 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 36 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 48 0 1.0 0.035087716 4.8328905 3.5830898 0.035087716 0.035087716 0.035087716 0.36842105 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 4.8328905 3.5830898 
8 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 60 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 72 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 84 0 1.0 0.035087716 4.8328905 3.5830898 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.36842105 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 4.8328905 3.5830898 
8 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 96 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 76 96 4 500000 NA NA 12 108 0 0.99999994 0.03225806 4.9541965 3.6863575 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.2258064 0.03225806 0.03225806 0.2258064 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 4.9541965 3.6863575 
8 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 74 96 4 500000 NA NA 12 120 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 132 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 14 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 156 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 15 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 168 0 1.0 0.36842105 1.4405726 3.5830898 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.36842105 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.36842105 1.4405726 3.5830898 
8 1 16 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 180 1 0.99999994 0.022471908 5.4757338 3.224543 0.022471908 0.022471908 0.022471908 0.022471908 0.022471908 0.022471908 0.11797752 0.022471908 0.022471908 0.11797752 0.022471908 0.022471908 0.022471908 0.022471908 0.022471908 0.4044944 0.022471908 0.022471908 0.022471908 0.022471908 5.4757338 3.224543 
8 1 17 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 192 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 18 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 204 0 0.99999994 0.03225806 4.9541965 3.6863575 0.03225806 0.03225806 0.03225806 0.2258064 0.03225806 0.03225806 0.03225806 0.2258064 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 0.03225806 4.9541965 3.6863575 
8 1 19 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 216 0 1.0 0.035087716 4.8328905 3.5830898 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.36842105 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 4.8328905 3.5830898 
8 1 20 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 228 0 1.0 0.031446543 4.990955 3.8971648 0.031446543 0.031446543 0.031446543 0.031446543 0.031446543 0.13207549 0.13207549 0.031446543 0.031446543 0.13207549 0.031446543 0.031446543 0.031446543 0.031446543 0.031446543 0.13207549 0.031446543 0.031446543 0.031446543 0.031446543 4.990955 3.8971648 
8 1 21 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 240 0 1.0 0.16535434 2.5963671 3.8019452 0.031496063 0.031496063 0.031496063 0.16535434 0.031496063 0.031496063 0.031496063 0.16535434 0.031496063 0.031496063 0.031496063 0.031496063 0.16535434 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.16535434 2.5963671 3.8019452 
8 1 22 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 252 1 1.0 0.36842105 1.4405726 3.5830898 0.035087716 0.035087716 0.035087716 0.035087716 0.36842105 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.36842105 1.4405726 3.5830898 
8 1 23 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 264 1 0.99999994 0.40449437 1.3058084 3.2245429 0.022471907 0.022471907 0.022471907 0.117977515 0.022471907 0.022471907 0.022471907 0.40449437 0.022471907 0.022471907 0.022471907 0.022471907 0.117977515 0.022471907 0.022471907 0.022471907 0.022471907 0.022471907 0.022471907 0.40449437 1.3058084 3.2245429 
8 1 24 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 276 1 1.0 0.07954547 3.6520762 3.4298193 0.022727279 0.022727279 0.022727279 0.022727279 0.07954547 0.07954547 0.36363643 0.022727279 0.022727279 0.07954547 0.022727279 0.022727279 0.022727279 0.022727279 0.022727279 0.07954547 0.022727279 0.022727279 0.022727279 0.07954547 3.6520762 3.4298193 
8 1 25 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 288 1 0.99999994 0.022471908 5.4757338 3.224543 0.022471908 0.022471908 0.022471908 0.4044944 0.022471908 0.022471908 0.022471908 0.11797752 0.022471908 0.022471908 0.022471908 0.022471908 0.11797752 0.022471908 0.022471908 0.022471908 0.022471908 0.022471908 0.022471908 0.022471908 5.4757338 3.224543 
8 1 26 "1" NA 0 0 1 0 NA 0 12 0 NA NA 59 96 4 500000 NA NA 12 300 0 1.0 0.035087716 4.8328905 3.5830898 0.035087716 0.035087716 0.035087716 0.035087716 0.36842105 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 0.035087716 4.8328905 3.5830898 
8 1 27 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 312 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 28 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 324 0 1.0 0.032258056 4.9541965 3.686357 0.22580637 0.032258056 0.032258056 0.032258056 0.22580637 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 0.032258056 4.9541965 3.686357 
