dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 probability information.content entropy 
29 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 500000 NA NA 12 0 0 0 0.65866894 0.34133103 0.99999994 1.0 0.11631931 3.1038373 3.4184124 0.11631931 0.03665504 0.128397 0.026706424 0.12524714 0.07735414 0.073421896 0.14399059 0.040320534 0.0971664 0.041396704 0.093024716 0.11631931 3.1038373 3.4184124 
29 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 12 1 0 0.6968608 0.30313915 1.0 1.0 0.012941203 6.2718844 2.8441396 0.31155917 0.012745332 0.15665491 0.00548318 0.10843278 0.029805377 0.012941203 0.09263163 0.005523351 0.08752451 0.020345928 0.15635255 0.012941203 6.2718844 2.8441396 
29 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 24 2 0 0.8046646 0.1953354 0.99999994 1.0 0.04859512 4.3630447 2.921345 0.008454463 0.024504675 0.07707633 0.020819703 0.07838001 0.05758622 0.16474119 0.34599498 0.04859512 0.12398804 0.03289136 0.016967952 0.04859512 4.3630447 2.921345 
29 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 36 2 0 0.8048539 0.1951461 1.0 1.0 0.25546873 1.9687814 2.9015377 0.018198382 0.063019484 0.009331846 0.024211464 0.016302444 0.053190507 0.23168173 0.020231247 0.19520673 0.06966324 0.25546873 0.0434941 0.25546873 1.9687814 2.9015377 
29 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 48 3 0 0.89343727 0.10656278 1.0 1.0 0.0033389926 8.226371 2.589931 0.029642243 0.07753361 0.0033389926 0.016839517 0.0024688062 0.005377713 0.17927137 0.0037559671 0.31380716 0.01396076 0.1520692 0.20193465 0.0033389926 8.226371 2.589931 
29 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 60 2 0 0.9451958 0.054804165 1.0 1.0 0.096583255 3.3720832 2.36597 0.10271478 0.005873026 0.38921255 0.28775093 0.096583255 0.011767403 0.006837828 0.04770685 0.0010274071 0.012225552 0.0017772722 0.036523234 0.096583255 3.3720832 2.36597 
29 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 72 2 0 0.8545869 0.14541312 1.0 1.0 0.038647894 4.693466 2.8173175 0.12135536 0.007106062 0.27749723 0.00820429 0.18455315 0.14533147 0.09034273 0.10841659 0.0036958964 0.038647894 0.0029435079 0.011905773 0.038647894 4.693466 2.8173175 
29 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 84 3 0 0.9027372 0.09726283 1.0 1.0 0.04124129 4.5997667 2.7270527 0.048589475 0.006011241 0.065768436 0.0054029473 0.04278381 0.04124129 0.046981826 0.35672897 0.016858274 0.20541793 0.009764918 0.15445095 0.04124129 4.5997667 2.7270527 
29 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 96 4 0 0.9318282 0.06817173 1.0 1.0 0.0076830494 7.024105 2.508478 0.050048474 0.0016800377 0.20059623 0.0076830494 0.20834085 0.23821104 0.011942763 0.24488424 0.0028733911 0.026693977 0.005192632 0.0018533489 0.0076830494 7.024105 2.508478 
29 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 108 2 0 0.75661117 0.24338886 1.0 1.0 0.058340926 4.099348 3.2553706 0.029837651 0.2099966 0.11221257 0.13306187 0.07170443 0.16925189 0.07747313 0.02802662 0.04469765 0.018661177 0.046735547 0.058340926 0.058340926 4.099348 3.2553706 
