dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.stm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 probability information.content entropy 
29 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 500000 NA NA 12 0 0 1.0 0.083333336 3.5849626 3.5849621 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 3.5849626 3.5849621 
29 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 12 0 1.0 0.055555537 4.169925 3.0781753 0.3888888 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 4.169925 3.0781753 
29 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 24 0 1.0 0.051724143 4.2730184 3.20014 0.24137932 0.051724143 0.051724143 0.051724143 0.051724143 0.051724143 0.24137932 0.051724143 0.051724143 0.051724143 0.051724143 0.051724143 0.051724143 4.2730184 3.20014 
29 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 36 0 1.0 0.05128205 4.2854023 3.3122113 0.1794872 0.05128205 0.05128205 0.05128205 0.05128205 0.05128205 0.1794872 0.05128205 0.1794872 0.05128205 0.05128205 0.05128205 0.05128205 4.2854023 3.3122113 
29 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 48 0 1.0 0.052083336 4.2630343 3.3965352 0.14583333 0.052083336 0.052083336 0.052083336 0.052083336 0.052083336 0.14583333 0.052083336 0.14583333 0.052083336 0.14583333 0.052083336 0.052083336 4.2630343 3.3965352 
29 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 60 0 1.0 0.053571425 4.2223926 3.4583974 0.125 0.053571425 0.125 0.053571425 0.053571425 0.053571425 0.125 0.053571425 0.125 0.053571425 0.125 0.053571425 0.053571425 4.2223926 3.4583974 
29 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 72 0 1.0 0.055555552 4.169925 3.5032582 0.111111104 0.055555552 0.111111104 0.055555552 0.111111104 0.055555552 0.111111104 0.055555552 0.111111104 0.055555552 0.111111104 0.055555552 0.055555552 4.169925 3.5032582 
29 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 84 0 1.0 0.057971008 4.1085243 3.5351858 0.101449266 0.057971008 0.101449266 0.057971008 0.101449266 0.057971008 0.101449266 0.057971008 0.101449266 0.101449266 0.101449266 0.057971008 0.057971008 4.1085243 3.5351858 
29 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 96 0 1.0 0.060810808 4.0395284 3.5571482 0.09459458 0.060810808 0.09459458 0.060810808 0.09459458 0.09459458 0.09459458 0.060810808 0.09459458 0.09459458 0.09459458 0.060810808 0.060810808 4.0395284 3.5571482 
29 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 108 0 1.0 0.06410255 3.9634743 3.571398 0.08974358 0.06410255 0.08974358 0.08974358 0.08974358 0.08974358 0.08974358 0.06410255 0.08974358 0.08974358 0.08974358 0.06410255 0.06410255 3.9634743 3.571398 
29 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 120 0 1.0 0.06790124 3.8804183 3.5797439 0.086419754 0.06790124 0.086419754 0.086419754 0.086419754 0.086419754 0.086419754 0.06790124 0.086419754 0.086419754 0.086419754 0.086419754 0.06790124 3.8804183 3.5797439 
29 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 61 96 4 500000 NA NA 12 132 0 1.0 0.07228916 3.790077 3.583761 0.08433735 0.07228916 0.08433735 0.08433735 0.08433735 0.08433735 0.08433735 0.08433735 0.08433735 0.08433735 0.08433735 0.08433735 0.07228916 3.790077 3.583761 
29 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 0 1.0 0.083333336 3.5849626 3.5849621 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 3.5849626 3.5849621 
29 1 14 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 156 1 1.0 0.07777777 3.684498 3.5554967 0.07777777 0.07777777 0.07777777 0.07777777 0.07777777 0.07777777 0.07777777 0.14444445 0.07777777 0.07777777 0.07777777 0.07777777 0.07777777 3.684498 3.5554967 
29 1 15 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 168 1 1.0 0.07692307 3.70044 3.552024 0.07692307 0.07692307 0.07692307 0.08284023 0.07692307 0.07692307 0.07692307 0.07692307 0.07692307 0.07692307 0.07692307 0.14792898 0.07692307 3.70044 3.552024 
29 1 16 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 180 1 1.0 0.07619048 3.7142453 3.5445316 0.07619048 0.07619048 0.07619048 0.15555556 0.07619048 0.082539685 0.07619048 0.07619048 0.07619048 0.07619048 0.07619048 0.07619048 0.07619048 3.7142453 3.5445316 
29 1 17 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 192 1 1.0 0.07508533 3.7353253 3.5390875 0.07508533 0.07508533 0.07508533 0.081911266 0.07508533 0.16040957 0.07508533 0.07508533 0.07508533 0.081911266 0.07508533 0.07508533 0.07508533 3.7353253 3.5390875 
29 1 18 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 204 1 1.0 0.07380074 3.7602208 3.532465 0.07380074 0.07380074 0.07380074 0.08118082 0.08118082 0.08118082 0.07380074 0.07380074 0.07380074 0.16605167 0.07380074 0.07380074 0.07380074 3.7602208 3.532465 
29 1 19 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 216 1 1.0 0.07228915 3.7900772 3.524283 0.07228915 0.07228915 0.08032128 0.08032128 0.17269076 0.08032128 0.07228915 0.07228915 0.07228915 0.08032128 0.07228915 0.07228915 0.07228915 3.7900772 3.524283 
29 1 20 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 228 1 1.0 0.07048458 3.8265486 3.5139806 0.07048458 0.07048458 0.18061675 0.07929515 0.07929515 0.07929515 0.07048458 0.07048458 0.07048458 0.07929515 0.07929515 0.07048458 0.07048458 3.8265486 3.5139806 
29 1 21 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 240 1 1.0 0.06829268 3.8721254 3.5007217 0.06829268 0.06829268 0.07804878 0.07804878 0.07804878 0.07804878 0.06829268 0.06829268 0.07804878 0.07804878 0.19024388 0.06829268 0.06829268 3.8721254 3.5007217 
29 1 22 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 252 1 1.0 0.06557377 3.9307375 3.483193 0.06557377 0.06557377 0.07650273 0.07650273 0.07650273 0.07650273 0.07650273 0.06557377 0.2021858 0.07650273 0.07650273 0.06557377 0.06557377 3.9307375 3.483193 
29 1 23 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 264 1 1.0 0.074534155 3.7459545 3.459245 0.074534155 0.06211179 0.074534155 0.074534155 0.074534155 0.074534155 0.21739128 0.06211179 0.074534155 0.074534155 0.074534155 0.06211179 0.074534155 3.7459545 3.459245 
29 1 24 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 276 1 1.0 0.07086614 3.81876 3.484138 0.07086614 0.059055116 0.15748031 0.07086614 0.08267716 0.07086614 0.07086614 0.059055116 0.07086614 0.15748031 0.07086614 0.059055116 0.07086614 3.81876 3.484138 
29 1 25 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 288 1 1.0 0.06896552 3.857981 3.4890404 0.06896552 0.057471264 0.06896552 0.080459766 0.080459766 0.16091953 0.06896552 0.057471264 0.06896552 0.06896552 0.06896552 0.14942528 0.06896552 3.857981 3.4890404 
29 1 26 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 300 1 0.99999994 0.15909092 2.6520765 3.4772906 0.06818183 0.056818187 0.15909092 0.07954546 0.07954546 0.06818183 0.06818183 0.056818187 0.15909092 0.06818183 0.07954546 0.056818187 0.15909092 2.6520765 3.4772906 
29 1 27 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 312 2 1.0 0.05844156 4.0968614 3.2786963 0.05844156 0.0487013 0.05844156 0.06818182 0.06818182 0.05844156 0.2824675 0.0487013 0.05844156 0.05844156 0.14285713 0.0487013 0.05844156 4.0968614 3.2786963 
