"sub","age","sex","yomt","somt","prof","style","trial_No","trial_idx","mel","resp","resp_rt","conf","conf_rt","cond","deviance","dev","acc"
1,25,"f","4","5",2,4,0,18,"5b",1,3.787555,5,1.30246,"atonal","std",2,0
1,25,"f","4","5",2,4,1,46,"6b",2,1.65592,7,0.787065,"tonal","std",2,1
1,25,"f","4","5",2,4,2,35,"3b",1,1.586625,7,2.836145,"tonal","dev",1,1
1,25,"f","4","5",2,4,3,43,"5b",1,0.704875,7,0.901665,"tonal","dev",1,1
1,25,"f","4","5",2,4,4,20,"6a",1,4.269975,4,1.20468,"atonal","std",2,0
1,25,"f","4","5",2,4,5,26,"1b",2,1.77244,6,1.185755,"tonal","std",2,1
1,25,"f","4","5",2,4,6,16,"5a",1,2.35557,3,0.88979,"atonal","std",2,0
1,25,"f","4","5",2,4,7,28,"2a",2,1.54387,7,1.01918,"tonal","std",2,1
1,25,"f","4","5",2,4,8,29,"2a",1,0.63709,7,0.768815,"tonal","dev",1,1
1,25,"f","4","5",2,4,9,41,"5a",1,0.81995,7,0.6899,"tonal","dev",1,1
1,25,"f","4","5",2,4,10,17,"5a",1,5.020665,3,6.74741,"atonal","dev",1,1
1,25,"f","4","5",2,4,11,37,"4a",1,0.85042,5,1.452625,"tonal","dev",1,1
1,25,"f","4","5",2,4,12,1,"1a",1,1.535875,5,0.90712,"atonal","dev",1,1
1,25,"f","4","5",2,4,13,42,"5b",2,1.318405,4,0.65262,"tonal","std",2,1
1,25,"f","4","5",2,4,14,10,"3b",1,1.60303,5,0.969085,"atonal","std",2,0
1,25,"f","4","5",2,4,15,14,"4b",1,1.6348,4,3.058875,"atonal","std",2,0
1,25,"f","4","5",2,4,16,22,"6b",1,3.23784,3,0.40195,"atonal","std",2,0
1,25,"f","4","5",2,4,17,34,"3b",2,0.952065,7,0.76893,"tonal","std",2,1
1,25,"f","4","5",2,4,18,2,"1b",1,1.48588,6,1.001545,"atonal","std",2,0
1,25,"f","4","5",2,4,19,44,"6a",2,3.803785,3,1.48572,"tonal","std",2,1
1,25,"f","4","5",2,4,20,24,"1a",2,2.104515,5,0.807715,"tonal","std",2,1
1,25,"f","4","5",2,4,21,39,"4b",1,0.638415,6,0.652745,"tonal","dev",1,1
1,25,"f","4","5",2,4,22,27,"1b",1,1.653105,7,0.635865,"tonal","dev",1,1
1,25,"f","4","5",2,4,23,32,"3a",2,1.817445,4,1.25248,"tonal","std",2,1
1,25,"f","4","5",2,4,24,40,"5a",1,0.567825,3,3.671305,"tonal","std",2,0
1,25,"f","4","5",2,4,25,0,"1a",1,3.103285,4,1.235805,"atonal","std",2,0
1,25,"f","4","5",2,4,26,12,"4a",1,1.468725,5,0.620205,"atonal","std",2,0
1,25,"f","4","5",2,4,27,33,"3a",1,0.86821,7,0.73613,"tonal","dev",1,1
1,25,"f","4","5",2,4,28,4,"2a",1,1.635695,5,0.768625,"atonal","std",2,0
1,25,"f","4","5",2,4,29,45,"6a",1,0.75145,7,0.669605,"tonal","dev",1,1
1,25,"f","4","5",2,4,30,7,"2b",1,2.551915,6,0.63487,"atonal","dev",1,1
1,25,"f","4","5",2,4,31,11,"3b",1,0.902415,6,0.53529,"atonal","dev",1,1
1,25,"f","4","5",2,4,32,19,"5b",2,0.884955,6,1.051,"atonal","dev",1,0
1,25,"f","4","5",2,4,33,47,"6b",2,0.50219,6,0.87003,"tonal","dev",1,0
1,25,"f","4","5",2,4,34,9,"3a",1,0.718645,6,0.75129,"atonal","dev",1,1
1,25,"f","4","5",2,4,35,31,"2b",1,0.7526,7,0.7353,"tonal","dev",1,1
1,25,"f","4","5",2,4,36,38,"4b",2,0.784775,7,0.668125,"tonal","std",2,1
1,25,"f","4","5",2,4,37,30,"2b",2,0.96819,7,0.66957,"tonal","std",2,1
1,25,"f","4","5",2,4,38,5,"2a",1,0.80264,6,1.336565,"atonal","dev",1,1
1,25,"f","4","5",2,4,39,36,"4a",2,0.56796,5,0.685025,"tonal","std",2,1
1,25,"f","4","5",2,4,40,23,"6b",2,1.93528,3,2.239185,"atonal","dev",1,0
1,25,"f","4","5",2,4,41,6,"2b",2,2.12232,2,1.052865,"atonal","std",2,1
1,25,"f","4","5",2,4,42,8,"3a",2,2.06889,1,1.301375,"atonal","std",2,1
1,25,"f","4","5",2,4,43,15,"4b",1,2.005335,3,1.71882,"atonal","dev",1,1
1,25,"f","4","5",2,4,44,13,"4a",1,1.28585,6,0.985645,"atonal","dev",1,1
1,25,"f","4","5",2,4,45,25,"1a",1,0.80235,7,0.684955,"tonal","dev",1,1
1,25,"f","4","5",2,4,46,3,"1b",1,0.85091,5,0.568935,"atonal","dev",1,1
1,25,"f","4","5",2,4,47,21,"6a",1,0.522205,5,0.53429,"atonal","dev",1,1
2,29,"m","0","0",1,1,0,16,"5a",2,9.818,5,6.556,"atonal","std",2,1
2,29,"m","0","0",1,1,1,7,"2b",1,3.05,6,5.168,"atonal","dev",1,1
2,29,"m","0","0",1,1,2,22,"6b",2,2.211,4,2.734,"atonal","std",2,1
2,29,"m","0","0",1,1,3,37,"4a",1,1.741,6,1.987,"tonal","dev",1,1
2,29,"m","0","0",1,1,4,34,"3b",2,2.569,4,1.319,"tonal","std",2,1
2,29,"m","0","0",1,1,5,8,"3a",1,8.477,2,7.802,"atonal","std",2,0
2,29,"m","0","0",1,1,6,47,"6b",1,1.506,6,2.183,"tonal","dev",1,1
2,29,"m","0","0",1,1,7,17,"5a",1,1.675,7,1.689,"atonal","dev",1,1
2,29,"m","0","0",1,1,8,11,"3b",1,2.332,7,1.276,"atonal","dev",1,1
2,29,"m","0","0",1,1,9,32,"3a",2,1.533,6,6.388,"tonal","std",2,1
2,29,"m","0","0",1,1,10,30,"2b",2,2.651,6,3.606,"tonal","std",2,1
2,29,"m","0","0",1,1,11,27,"1b",1,1.438,7,1.885,"tonal","dev",1,1
2,29,"m","0","0",1,1,12,29,"2a",1,4.543,7,2.05,"tonal","dev",1,1
2,29,"m","0","0",1,1,13,45,"6a",1,1.453,5,2.367,"tonal","dev",1,1
2,29,"m","0","0",1,1,14,35,"3b",1,1.368,4,4.605,"tonal","dev",1,1
2,29,"m","0","0",1,1,15,9,"3a",1,2.467,3,4.772,"atonal","dev",1,1
2,29,"m","0","0",1,1,16,18,"5b",2,1.461,4,6.906,"atonal","std",2,1
2,29,"m","0","0",1,1,17,6,"2b",2,1.52,5,2.255,"atonal","std",2,1
2,29,"m","0","0",1,1,18,42,"5b",2,4.352,5,2.037,"tonal","std",2,1
2,29,"m","0","0",1,1,19,28,"2a",2,2.667,6,1.267,"tonal","std",2,1
