key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,I have read the information in the email carefully (yes/no)*,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,26.104,1,11.283,space,125.721,space,5.091,2,1,8.715,7,7.322,0,0,0,0,1,practice/practice_1_std.wav,2,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,2.453,7,3.6,0,1,1,1,1,practice/practice_1_dev.wav,1,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,3.84,7,1.932,0,2,2,2,1,practice/practice_2_std.wav,2,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.81,7,0.523,0,3,3,3,1,practice/practice_2_dev.wav,1,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.789,7,1.468,0,4,4,4,1,practice/practice_3_dev.wav,1,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,3.017,6,3.239,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,space,13.202,0,0,0,32,1,mels/tonal_3a_std.wav
,,,,,,,,1,1,2.274,7,2.394,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,23,1,mels/atonal_6b_dev.wav
,,,,,,,,1,1,1.812,6,1.287,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,6,1,mels/atonal_2b_std.wav
,,,,,,,,1,1,10.516,4,3.299,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,22,1,mels/atonal_6b_std.wav
,,,,,,,,1,1,2.534,5,1.972,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,3,1,mels/atonal_1b_dev.wav
,,,,,,,,2,0,1.891,6,2.836,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,41,1,mels/tonal_5a_dev.wav
,,,,,,,,2,0,4.666,5,2.816,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,5,1,mels/atonal_2a_dev.wav
,,,,,,,,2,0,1.932,7,2.313,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,30,1,mels/tonal_2b_std.wav
,,,,,,,,1,1,2.116,7,1.77,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,3.806,5,2.997,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,9,9,33,1,mels/tonal_3a_dev.wav
,,,,,,,,1,1,1.57,5,1.851,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,10,10,2,1,mels/atonal_1b_std.wav
,,,,,,,,2,0,3.584,6,2.133,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,11,11,40,1,mels/tonal_5a_std.wav
,,,,,,,,1,1,4.043,4,1.488,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,12,12,1,1,mels/atonal_1a_dev.wav
,,,,,,,,1,1,1.65,5,3.039,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,13,13,25,1,mels/tonal_1a_dev.wav
,,,,,,,,2,0,1.992,6,1.816,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,14,14,46,1,mels/tonal_6b_std.wav
,,,,,,,,2,0,2.398,5,2.193,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,15,15,26,1,mels/tonal_1b_std.wav
,,,,,,,,1,1,1.407,7,1.288,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,16,16,17,1,mels/atonal_5a_dev.wav
,,,,,,,,1,1,1.669,5,1.01,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,17,17,16,1,mels/atonal_5a_std.wav
,,,,,,,,1,1,2.313,7,1.006,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,18,18,43,1,mels/tonal_5b_dev.wav
,,,,,,,,2,0,2.453,6,1.85,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,19,19,38,1,mels/tonal_4b_std.wav
,,,,,,,,1,1,6.132,4,2.293,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,20,20,36,1,mels/tonal_4a_std.wav
,,,,,,,,1,1,1.393,5,1.328,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,21,21,47,1,mels/tonal_6b_dev.wav
,,,,,,,,1,1,1.57,7,0.825,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,22,22,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,1.895,5,0.725,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,23,23,18,1,mels/atonal_5b_std.wav
,,,,,,,,1,1,1.452,7,0.744,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,24,24,29,1,mels/tonal_2a_dev.wav
,,,,,,,,1,1,1.308,7,0.99,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,25,25,9,1,mels/atonal_3a_dev.wav
,,,,,,,,2,0,1.428,6,1.146,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,26,26,14,1,mels/atonal_4b_std.wav
,,,,,,,,2,0,1.653,6,1.85,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,27,27,28,1,mels/tonal_2a_std.wav
,,,,,,,,1,1,0.746,7,0.806,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,28,28,11,1,mels/atonal_3b_dev.wav
,,,,,,,,1,1,1.508,5,0.807,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,29,29,37,1,mels/tonal_4a_dev.wav
,,,,,,,,1,1,5.531,4,0.73,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,30,30,12,1,mels/atonal_4a_std.wav
,,,,,,,,1,1,1.73,4,0.725,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,31,31,4,1,mels/atonal_2a_std.wav
,,,,,,,,1,1,1.548,6,0.585,,,,,,,,yes,57,m,53,2,9,2020-12-22_22h31.45.985,exp_mumufe_builder,2020.2.3,Win32,60,,,0,32,32,8,1,mels/atonal_3a_std.wav
