key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,By klicking “OK” below I confirm that I have carefully read the information in the email and I agree to participate in the study*,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,46.028275,1,12.70699,space,70.339995,space,3.630725,2,1,24.230885,7,5.14337,0,0,0,0,1,practice/practice_1_std.wav,2,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,3.13634,7,2.019095,0,1,1,1,1,practice/practice_1_dev.wav,1,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,0,2.853975,6,4.72121,0,2,2,2,1,practice/practice_2_std.wav,2,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,1.990865,7,2.53315,0,3,3,3,1,practice/practice_2_dev.wav,1,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,2.100705,5,2.72302,0,4,4,4,1,practice/practice_3_dev.wav,1,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,3.136725,3,3.867255,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,space,4.09005,0,0,0,47,1,mels/tonal_6b_dev.wav
,,,,,,,,1,1,2.805855,3,4.084395,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,0,1,1,17,1,mels/atonal_5a_dev.wav
,,,,,,,,1,1,1.420195,3,3.68584,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,0,2,2,11,1,mels/atonal_3b_dev.wav
,,,,,,,,2,0,3.42393,3,2.2838,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,0,3,3,4,1,mels/atonal_2a_std.wav
,,,,,,,,2,0,2.802075,6,1.56785,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,0,4,4,42,1,mels/tonal_5b_std.wav
,,,,,,,,2,0,1.93605,6,2.251985,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,0,5,5,32,1,mels/tonal_3a_std.wav
,,,,,,,,2,0,3.524095,6,1.656265,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,0,6,6,30,1,mels/tonal_2b_std.wav
,,,,,,,,2,0,1.66703,5,1.36824,,,,,,,,I confirm,62,f,24,0,0,2021-01-08_16h45.22.421,exp_mumufe_builder,2020.2.2,Win32,60,,,0,7,7,44,1,mels/tonal_6a_std.wav
